strategy_name,strategy_description,fixtures,snapshots,priced_snapshots,quoteable_snapshots,buy_decisions,sell_decisions,no_trade_snapshots,no_trade_ratio,average_absolute_edge,average_directional_next_capture,average_directional_2step_capture,average_directional_eventual_capture,positive_capture_rate,positive_2step_capture_rate,average_max_favorable_move,average_max_adverse_move,average_uncertainty,average_source_overround,average_source_count,dominant_no_trade_reason,notes
more_aggressive,Shorter cooldowns and looser source/spread gating,4,32,64,19,11,8,45,0.703125,0.017143,0.095556,0.088824,0.129474,0.722222,0.705882,0.342368,0.19,0.031702,0.043919,1.96875,cooldown_after_goal,
baseline,Current default config,4,32,64,17,10,7,47,0.734375,0.017143,0.05625,0.028667,0.070588,0.6875,0.666667,0.313235,0.212353,0.03514,0.043919,1.96875,cooldown_after_goal,
more_conservative,Longer cooldowns and stricter stale/uncertainty gating,4,32,64,17,10,7,47,0.734375,0.017143,0.05625,0.028667,0.070588,0.6875,0.666667,0.313235,0.212353,0.03889,0.043919,1.96875,cooldown_after_goal,
tighter_quotes,Smaller base half-spread and stricter disagreement gating,4,32,64,17,10,7,47,0.734375,0.017143,0.05625,0.028667,0.070588,0.6875,0.666667,0.313235,0.212353,0.037952,0.043919,1.96875,cooldown_after_goal,
